철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
대구교통공사,3호선,칠곡경대병원,1,0.8,0
대구교통공사,3호선,학정,2,0.8,0.8
대구교통공사,3호선,팔거(국립농관원.통계청),3,0.7,1.6
대구교통공사,3호선,동천,4,0.7,2.3
대구교통공사,3호선,칠곡운암,5,0.7,3
대구교통공사,3호선,구암,6,0.7,3.7
대구교통공사,3호선,태전,7,0.9,4.4
대구교통공사,3호선,매천,8,1.1,5.3
대구교통공사,3호선,매천시장,9,0.8,6.4
대구교통공사,3호선,팔달,10,0.9,7.2
대구교통공사,3호선,공단,11,0.7,8.1
대구교통공사,3호선,만평,12,0.6,8.8
대구교통공사,3호선,팔달시장,13,0.6,9.4
대구교통공사,3호선,원대,14,0.8,10
대구교통공사,3호선,북구청,15,0.9,10.8
대구교통공사,3호선,달성공원,16,0.6,11.7
대구교통공사,3호선,서문시장(동산병원),17,0.6,12.3
대구교통공사,3호선,청라언덕,18,0.9,12.9
대구교통공사,3호선,남산,19,0.6,13.8
대구교통공사,3호선,명덕(2.28민주운동기념회관),20,0.9,14.4
대구교통공사,3호선,건들바위,21,0.6,15.3
대구교통공사,3호선,대봉교,22,0.9,15.9
대구교통공사,3호선,수성시장,23,1,16.8
대구교통공사,3호선,수성구민운동장,24,0.8,17.8
대구교통공사,3호선,어린이세상,25,0.7,18.6
대구교통공사,3호선,황금,26,0.9,19.3
대구교통공사,3호선,수성못(TBC),27,1.1,20.2
대구교통공사,3호선,지산,28,0.9,21.3
대구교통공사,3호선,범물,29,0.7,22.2
대구교통공사,3호선,용지,30,,22.9
